ZIP,City,State,CountyName,RentPrice,LAT,LNG
20191,Reston,VA,Fairfax County,2354.8707664884137,38.934645,-77.351702
20721,Bowie,MD,Prince Georges County,2691.7000000000003,38.915222,-76.785129
20814,Bethesda,MD,Montgomery County,2946.8561420658193,39.004989,-77.10149
22315,Alexandria,VA,Fairfax County,2819.574915824916,38.758337,-77.151192
20879,Gaithersburg,MD,Montgomery County,2149.777777777778,39.168416,-77.171506
22152,Springfield,VA,Fairfax County,3231.6,38.774493,-77.232029
22041,Falls Church,VA,Fairfax County,2218.074074074074,38.849321,-77.141472
20007,Washington,DC,District of Columbia,2775.3553041729515,38.914363,-77.079339
20745,Forest Heights,MD,Prince Georges County,2021.1115384615384,38.806935,-76.995672
20601,Waldorf,MD,Charles County,2097.1666666666665,38.613372,-76.851612
20008,Washington,DC,District of Columbia,2269.189233954451,38.936238,-77.059981
20708,Laurel,MD,Prince Georges County,1722.746153846154,39.057389,-76.825834
20746,Suitland-Silver Hill,MD,Prince Georges County,2053.0753018910914,38.836403,-76.918265
22150,Springfield,VA,Fairfax County,2436.060185185185,38.772863,-77.186523
22312,Lincolnia,VA,Fairfax County,2303.5990476190477,38.815789,-77.154271
22406,Fredericksburg,VA,Stafford County,1925.2619047619048,38.399767,-77.54731
22102,McLean,VA,Fairfax County,2630.1338668800854,38.95095,-77.229544
20121,Centreville,VA,Fairfax County,2481.5218253968255,38.811059,-77.463237
22202,Arlington,VA,Arlington County,2704.354472171502,38.856868,-77.051492
22401,Fredericksburg,VA,Fredericksburg City,1960.155982905983,38.299272,-77.486658
20784,Landover Hills,MD,Prince Georges County,1587.9444444444443,38.950549,-76.89172
20715,Bowie,MD,Prince Georges County,2572.6388888888887,38.989393,-76.741331
20876,Germantown,MD,Montgomery County,2490.1666666666665,39.208384,-77.237152
22182,Vienna,VA,Fairfax County,3269.861904761905,38.938421,-77.27552
22043,Falls Church,VA,Fairfax County,2676.3607503607504,38.900858,-77.19588
20912,Takoma Park,MD,Montgomery County,1588.3333333333333,38.981606,-77.001161
